#{"t_start": 1742559698.6010008, "env_id": "Hopper-v5"}
r,l,t
6.975355,21,0.128918
13.788231,22,0.236136
8.691688,19,0.336636
11.561493,18,0.410013
38.57436,33,0.579494
8.270374,11,0.655879
10.812254,13,0.733926
9.015286,12,0.795074
9.732697,12,0.857662
8.103028,11,0.904968
7.469431,11,0.957603
14.519431,22,1.074342
5.653937,12,1.140738
6.621281,11,1.202301
25.202847,38,1.400786
6.098774,10,1.454256
10.444035,13,1.520583
6.927984,12,1.585051
6.432133,10,1.632229
12.156333,17,1.724096
11.001439,16,1.814936
8.509215,11,1.880039
10.70443,22,1.998493
18.417364,21,2.106203
18.568152,25,2.237799
11.565905,15,2.328889
10.48154,14,2.406072
11.157292,14,2.481826
9.144691,15,2.573236
23.626484,26,2.719064
7.643923,18,8.01151
24.149032,25,8.137378
15.267277,18,8.215583
19.809371,18,8.307256
99.279033,76,8.657485
8.082213,13,8.73812
4.260432,10,8.784922
66.203452,44,8.985731
17.695045,18,9.07135
8.503754,12,9.140082
148.069135,71,9.538744
206.092728,101,10.073387
73.794407,58,10.417938
40.696024,31,10.583616
102.060502,74,16.05834
100.351003,56,16.334413
224.219737,109,16.87004
89.518505,52,17.133421
107.620781,59,17.44307
32.401651,31,17.628675
86.564801,49,17.885311
36.126212,37,18.076163
190.844729,116,23.874496
67.410224,40,24.033192
138.996248,81,24.438745
111.279595,59,24.752537
211.015763,106,25.271085
17.979161,16,25.353123
79.675159,48,25.620078
115.671759,61,25.948942
45.091603,27,26.085999
139.974472,77,31.558359
192.652799,92,31.982392
44.953695,27,32.113029
214.041461,98,32.663264
95.437715,53,32.946448
123.078448,66,33.297118
199.436871,104,33.869358
182.398988,87,39.376622
183.671968,85,39.75913
206.340351,100,40.291949
203.608078,102,40.826668
56.977103,34,41.012645
52.387608,31,41.180694
184.578782,85,46.944474
221.9473,94,47.413364
190.077735,89,47.857275
51.584766,30,48.00136
218.400503,106,48.53281
186.263083,86,49.036903
94.283062,51,49.36412
179.810643,85,55.287038
184.11841,90,55.729643
194.984915,89,56.201631
206.742297,90,56.704701
177.107937,83,57.188463
218.514749,95,57.731858
198.334301,88,63.553982
203.797679,91,64.033975
187.117876,85,64.493263
68.790174,39,64.699627
194.352435,88,65.267205
190.892421,87,65.771488
205.535188,89,71.839251
204.070422,93,72.306423
222.338764,94,72.798324
253.844979,102,73.330495
189.323687,85,73.830133
208.449737,95,74.392415
235.457958,101,80.244402
233.055064,96,80.730109
217.631571,92,81.282159
181.701636,87,81.786861
234.364984,97,82.361066
259.373715,105,88.215784
278.455399,110,88.738936
261.764408,103,89.237269
252.507953,104,89.798176
248.504527,101,90.419831
279.579781,110,96.268968
276.668051,114,96.821605
279.988709,114,97.399904
295.792988,121,98.043757
243.074209,104,104.139516
224.00605,96,104.615324
231.510141,96,105.094974
278.664373,111,105.709184
266.599953,108,106.302943
292.970259,114,112.621358
243.997608,101,113.088625
301.66807,115,113.649139
294.848354,121,114.265989
330.091552,128,114.988201
294.393029,118,121.042058
316.531758,122,121.687371
292.670939,123,122.377344
305.8128,121,123.0202
328.817739,128,129.192355
355.524181,134,129.858381
321.171902,122,130.513615
311.114073,122,131.214029
334.065272,121,137.222486
293.383199,114,137.82298
307.162459,122,138.408801
341.910179,129,139.055794
291.649318,112,145.150007
329.746687,123,145.742814
343.305585,128,146.372317
346.70635,132,147.100284
366.333593,134,153.433517
326.592968,123,154.072432
319.563709,124,154.687501
354.958895,128,155.370748
322.563123,123,161.481033
332.518475,128,162.125463
334.69772,128,162.749612
60.297984,34,162.924355
330.46021,126,163.617041
348.614357,127,169.758648
357.687037,130,170.413184
317.397858,125,171.180493
344.832738,130,171.927982
329.935953,124,177.972
341.722999,125,178.545768
331.662721,124,179.198531
362.507038,132,179.910592
365.231951,132,186.076874
349.392863,129,186.684968
362.988893,135,187.345118
355.296588,129,188.10614
349.453653,132,193.835487
368.129873,135,194.501223
129.501386,70,194.849012
355.65063,131,195.531982
340.688094,129,201.753822
352.321615,127,202.392615
367.890105,135,203.058258
313.745642,121,203.736527
357.798974,133,209.835868
366.4476,135,210.531197
356.726957,132,211.315755
360.04829,133,212.075908
365.810477,134,218.679869
