#{"t_start": 1742559698.597759, "env_id": "Hopper-v5"}
r,l,t
11.083108,14,0.095191
8.220194,12,0.152702
26.811763,37,0.345554
6.141189,13,0.397724
8.774877,13,0.458461
28.812878,28,0.609592
6.621918,9,0.669745
30.413312,42,0.891411
3.273801,8,0.927393
26.951748,26,1.059384
10.435884,14,1.137583
13.397815,16,1.224127
117.390129,65,1.568618
8.230986,15,1.641696
12.702773,16,1.726739
10.655007,13,1.802707
23.249973,25,1.938564
29.323343,28,2.088259
5.879586,9,2.129319
13.210092,16,2.218766
5.564534,14,2.307737
12.464791,14,2.38403
9.57589,17,2.472691
5.460636,9,2.524705
6.420116,10,2.588728
4.07272,8,2.628948
10.676854,13,2.701572
7.57418,16,7.987104
37.431569,32,8.150913
25.676803,23,8.256629
9.739327,13,8.31968
123.850106,101,8.805462
93.736447,63,9.098554
163.330001,100,9.650857
34.710068,29,9.828481
19.71067,21,9.931733
6.471058,11,9.993978
41.255772,42,10.224001
105.6004,65,10.586299
108.951891,59,15.996251
80.217615,47,16.219138
74.757941,55,16.499159
117.120272,67,16.815287
100.994584,58,17.115958
26.421552,22,17.236857
96.528541,53,17.504586
58.141569,36,17.71498
59.759491,38,17.920119
70.616034,48,18.183481
261.595467,161,24.129747
220.256346,100,24.649551
54.798446,34,24.834291
65.014185,39,25.018498
24.024984,22,25.127563
62.822087,37,25.31734
62.715407,38,25.527997
46.980672,29,25.669303
204.863185,101,31.310287
175.572772,86,31.692429
194.004672,96,32.172224
195.459987,95,32.700316
169.00153,82,33.135829
51.239455,32,33.306725
169.648507,84,33.766997
186.028343,91,39.300353
189.428177,94,39.725972
203.125431,93,40.215276
67.672814,42,40.458476
185.440782,90,40.922215
196.471677,89,41.387169
202.430898,91,47.178909
185.724979,86,47.611392
187.223706,86,48.025298
194.958843,87,48.467095
165.024287,78,48.919057
191.085178,86,49.454917
182.301389,87,55.361421
182.628144,91,55.808394
186.163014,88,56.288876
179.951058,87,56.771571
195.673979,100,57.367455
181.376267,83,57.825897
199.539217,90,63.663408
162.561768,79,64.070671
208.233292,96,64.583508
184.460828,86,65.111761
189.594432,94,65.687246
255.666255,108,71.860121
212.001046,92,72.321574
186.698572,84,72.761907
232.459824,101,73.275185
197.035337,92,73.827723
196.133251,87,74.349526
213.784977,91,80.158811
199.743713,88,80.600322
190.032084,85,81.087554
197.169688,90,81.618798
173.160047,86,82.104706
224.580457,96,87.964465
199.23125,88,88.368155
209.96604,93,88.834513
284.924213,112,89.389847
250.312866,105,89.989341
246.229987,104,90.620133
296.321209,119,96.458033
260.511952,107,96.983684
233.491129,97,97.499781
245.504137,103,98.046635
272.595605,111,104.176273
289.20301,114,104.735015
247.380534,100,105.259464
314.598806,127,105.951031
277.384583,111,106.55783
254.683655,104,112.819901
296.121733,112,113.334858
305.530255,123,113.93851
169.439707,82,114.401695
280.017118,106,114.975507
296.858213,111,120.992074
323.593239,125,121.648305
241.173173,98,122.203671
297.714623,113,122.814198
343.653911,128,128.981143
302.963713,116,129.581893
283.143748,111,130.118601
352.320566,133,130.859766
315.295469,118,131.556388
327.09075,125,137.533882
323.745795,120,138.151916
315.225148,120,138.750201
324.967137,121,139.366592
307.472055,116,145.441274
329.395626,125,146.06413
336.785498,128,146.723322
314.466289,118,147.380945
322.033788,117,153.602617
292.930073,117,154.205667
361.787399,133,154.880494
122.592372,67,155.226376
318.4822,120,155.948918
365.715016,131,162.006536
333.421052,123,162.586715
204.427729,91,163.092413
368.845497,136,163.826737
355.597567,128,169.945787
359.615198,131,170.662456
354.363987,132,171.46611
360.635957,131,172.204941
297.848773,117,178.173229
349.610492,130,178.790903
344.372601,130,179.484059
336.766494,126,180.161553
334.25328,127,186.273536
357.977849,131,186.897048
334.788903,123,187.539547
364.398904,131,188.27662
360.668464,132,193.986051
338.481982,127,194.615416
351.143841,128,195.276554
363.80431,132,196.003232
352.285493,129,202.168284
360.099562,134,202.839348
352.296112,127,203.520469
339.130526,126,204.203372
372.919043,135,210.266703
361.094232,134,211.090844
368.027381,135,211.838153
365.222226,134,212.595975
357.856778,133,219.192794
361.802075,134,219.947449
368.446819,134,220.65974
362.337307,130,226.941139
362.202736,134,227.624845
369.048607,134,228.396754
366.623528,132,229.114446
345.111435,129,235.960715
360.741062,130,236.628073
370.312999,134,237.323116
366.569296,132,238.053094
148.67627,76,238.476473
357.772103,132,244.264052
363.052471,134,244.980356
351.408604,129,245.669294
323.078603,124,251.775201
354.523521,132,252.416131
359.745089,132,253.086996
343.352646,128,253.81072
142.321357,74,254.25363
378.684619,132,260.475502
361.148374,134,261.122061
359.949852,133,261.755841
365.450737,132,262.510319
365.790696,133,268.463091
357.920958,128,269.089898
349.678404,128,269.746178
112.484674,61,270.098607
366.137768,134,276.060913
371.612846,132,276.693565
361.026572,132,277.409768
366.122087,133,278.173816
360.278406,131,283.988978
363.403233,133,284.635582
351.553006,128,285.348526
155.431826,80,285.814621
369.541147,133,291.89978
86.794494,48,292.161588
363.09924,132,292.946881
359.571936,131,293.677502
354.642572,129,294.406233
318.140557,120,300.359535
370.087236,133,300.98598
349.158397,131,301.739564
363.057785,134,302.482814
370.025914,133,308.311365
370.536031,132,308.94265
330.527472,122,309.599054
365.519414,134,310.321556
358.307158,133,316.336189
338.805243,124,316.96393
366.453677,134,317.67606
337.438224,125,318.38337
370.815879,136,324.541128
375.307807,135,325.236603
369.589535,132,325.954158
368.42329,135,326.707986
347.130592,129,332.825084
365.082221,130,333.447431
368.757939,131,334.124716
353.977581,130,340.356779
372.340168,135,341.089083
372.132494,133,341.741748
374.619868,133,342.416635
362.825184,134,348.581393
367.253624,133,349.194731
370.52275,132,349.872913
253.308855,106,350.394807
369.957444,134,356.609073
366.384643,133,357.252275
370.616516,133,357.92767
160.416962,81,358.345648
368.739055,132,359.023371
357.132933,128,364.707258
355.404186,133,365.362321
361.584286,133,366.060529
366.60769,133,372.104309
367.808659,131,372.730673
364.112554,133,373.367954
375.028661,134,374.066478
361.664851,134,380.155288
365.071183,130,380.749474
359.532496,133,381.361325
362.141674,134,382.059304
322.472189,120,388.20995
365.558035,134,388.947903
363.935523,133,389.751996
369.027336,132,390.475738
366.661616,132,396.774242
363.316953,130,397.377319
368.86168,131,398.080025
138.153603,73,398.453351
375.773038,136,404.629781
362.520719,134,405.271833
371.160826,134,405.938597
371.666047,134,406.623032
372.580588,135,412.9825
375.509024,135,413.623905
370.47648,134,414.419903
360.822329,128,415.174874
365.88149,134,421.483466
254.614167,104,421.995307
372.78554,133,422.597785
369.253003,132,423.343581
361.320807,130,429.598931
256.324166,105,430.193572
268.556892,108,430.682246
354.164906,131,431.331684
373.172974,136,437.415294
373.443799,136,438.069533
369.361234,135,438.730149
381.751877,135,439.486286
364.975312,132,445.767138
310.799339,121,446.36696
369.051969,133,447.115113
377.12396,134,447.875942
374.023998,137,454.219193
372.283701,131,454.835963
367.503375,132,455.521657
236.81336,101,456.050644
368.030668,132,461.96423
364.123946,133,462.639986
367.808367,135,463.305342
364.736294,129,463.988667
367.814912,132,470.150492
373.12469,134,470.785815
373.662721,133,471.486163
374.808967,136,472.214025
367.218699,135,478.478178
369.551284,133,479.104835
290.35115,113,479.648421
137.541098,72,480.030396
362.834387,134,486.219894
368.563339,135,486.84793
371.611581,136,487.481466
373.373016,135,488.224266
368.120119,135,494.369337
376.086778,133,494.964354
359.194985,133,495.659152
373.391938,134,496.376485
373.912436,133,502.858634
373.939439,133,503.546293
149.832865,78,503.950963
371.329354,134,504.679646
375.890265,134,510.810063
368.13866,134,511.495273
373.019177,136,512.140238
52.976132,30,512.312675
374.573222,132,513.059399
371.422875,136,519.133858
369.128616,131,519.784297
364.63517,134,520.487816
363.174947,134,521.276188
366.2083,135,527.421504
372.687398,136,528.155283
373.907822,135,528.878885
367.958585,135,529.647826
370.501975,136,535.849539
371.185286,131,536.633972
374.737733,136,537.445424
375.419605,134,543.599865
366.487739,130,544.213114
373.152558,132,544.913478
366.562681,134,545.662762
371.696406,135,551.981164
364.772491,134,552.597089
230.266706,97,553.142296
367.568959,135,553.876162
366.680005,135,559.723579
372.648098,134,560.36283
370.81867,136,561.069751
371.57857,136,561.777726
372.629934,133,567.73863
369.835773,134,568.426486
372.937695,134,569.150881
370.060894,135,569.901556
370.514428,136,576.161461
370.204594,133,576.858114
373.649195,134,577.572197
364.931245,134,578.324234
375.651302,134,584.31708
369.606982,132,584.959545
374.703294,136,585.670138
368.222593,135,586.420479
373.412852,135,592.532845
375.226018,133,593.307148
352.851238,131,594.017149
371.406299,132,600.129924
374.020755,135,600.737809
50.676307,29,600.884952
368.737197,133,601.560893
371.438874,136,602.307407
372.48464,136,608.187047
374.245669,134,608.831683
375.186416,133,609.538777
61.416276,34,609.725449
375.428061,135,610.524909
306.002398,118,616.772499
307.421109,117,617.39515
366.590178,135,618.103231
373.927446,134,618.798093
376.564726,135,624.582057
101.988102,56,624.835763
372.559713,135,625.596613
375.76344,134,626.37517
373.618235,135,632.712156
374.711674,135,633.364612
373.763106,132,634.024489
376.341898,135,634.806873
363.865373,134,640.950933
369.679781,131,641.620566
376.008225,135,642.367529
257.322601,104,642.905377
371.397837,136,648.878878
371.529531,133,649.611555
372.66274,131,650.323031
371.844283,136,651.061147
361.153106,133,657.278229
366.720561,135,658.030098
373.718168,133,658.746316
371.483953,136,664.639709
363.879127,134,665.33715
261.795568,106,665.858963
286.039054,114,666.499632
371.393498,135,667.239321
278.939543,110,673.277422
371.415547,136,674.143421
372.629824,133,674.876954
373.0851,134,675.596937
367.89372,135,681.573674
373.981916,134,682.267459
374.843891,135,683.030487
371.265481,136,688.94412
369.379664,135,689.592278
373.530666,134,690.235679
371.58957,133,691.051593
300.841227,117,697.066198
372.586241,132,697.721028
375.309835,134,698.395113
374.838482,134,699.084507
352.764669,130,705.379221
373.724645,135,706.026589
376.966415,136,706.858261
373.613794,133,707.616948
368.325181,135,713.722457
367.818103,135,714.404418
369.778247,132,715.126543
367.658991,135,715.896212
343.179277,127,722.219323
369.810205,132,722.897498
372.085317,133,723.61238
373.502782,134,724.382025
372.935291,132,730.638252
356.052754,130,731.305893
373.032077,134,732.019488
373.130505,133,732.749264
370.844286,135,738.781744
368.33875,132,739.372936
373.026014,135,740.138994
367.823023,135,746.038365
367.55095,135,746.688677
376.522949,136,747.344279
369.693049,132,748.06203
371.627336,136,754.215586
375.960629,135,754.857451
372.70766,133,755.489814
369.904452,134,756.21233
372.952103,133,762.162414
375.153261,133,762.859383
374.035718,135,763.576062
364.348318,134,764.351042
371.965136,132,770.202868
375.588892,134,770.858195
370.805691,133,771.536984
374.052953,136,772.29841
367.136429,135,778.457468
371.937193,134,779.209895
372.496242,135,779.917138
56.657477,32,780.091171
