#{"t_start": 1742559698.5939453, "env_id": "Hopper-v5"}
r,l,t
36.111231,33,0.187762
11.823794,14,0.267896
32.965707,26,0.389683
24.732395,25,0.504637
9.859332,24,0.647668
9.676426,14,0.735309
11.814746,19,0.825327
15.0184,19,0.921821
8.636965,11,0.973995
5.096846,11,1.027095
47.302429,35,1.222463
9.002479,12,1.288562
14.361885,17,1.376105
11.728357,14,1.449146
26.517683,25,1.580165
5.700968,10,1.627327
5.995789,14,1.705604
7.35805,11,1.764554
5.493216,9,1.816269
11.990946,14,1.897933
17.008625,42,2.117766
10.874157,28,2.264849
12.82679,15,2.359291
4.427253,9,2.409167
13.324892,16,2.495807
4.153109,26,2.64123
8.340747,13,2.718693
9.523094,16,8.002353
27.782963,24,8.122265
164.857051,166,8.901935
18.136511,18,8.997612
6.775089,10,9.043318
15.602886,32,9.213043
12.497218,16,9.300538
50.055198,39,9.531544
9.931373,22,9.642268
11.806059,14,9.724988
6.80337,12,9.80319
22.345197,24,9.92519
6.955357,13,9.987165
21.038597,37,10.193092
42.355606,38,10.414198
5.8519,18,10.509358
38.249042,32,15.809088
6.254583,10,15.862201
109.741691,65,16.145064
5.692201,12,16.213063
16.282453,29,16.357347
11.30635,12,16.42637
105.218593,61,16.709978
51.710675,34,16.881357
65.705278,41,17.099397
150.006407,72,17.464029
108.357825,60,17.814908
144.031046,82,18.248978
12.038436,14,18.326148
208.914224,103,23.996153
204.514836,100,24.488404
228.805907,118,25.089346
99.629405,55,25.35906
63.934311,38,25.577692
47.537784,29,25.723723
209.534378,113,31.415675
194.22515,87,31.804186
179.442907,89,32.246344
40.909942,25,32.388987
190.811411,90,32.880072
115.532313,69,33.25194
200.910343,92,33.759258
68.817516,40,39.058559
119.085717,65,39.369332
42.96385,26,39.483175
205.631255,94,39.9546
49.609727,30,40.093923
192.807674,92,40.593061
207.452853,101,41.133185
208.13374,98,46.957438
223.416794,100,47.461615
125.294151,67,47.790331
168.986691,83,48.182196
202.691772,104,48.761324
121.047434,65,49.139276
196.382492,87,55.10374
187.699652,94,55.576569
182.176677,88,56.049176
203.149021,90,56.527593
218.338535,95,57.090356
176.84331,83,57.561348
193.558067,93,63.421611
191.893828,86,63.869478
184.408902,84,64.302182
226.724192,96,64.839134
203.974522,101,65.509695
191.702211,89,66.043063
51.907397,30,71.757094
58.395108,34,71.922927
180.712196,84,72.338226
208.470818,92,72.822226
252.78657,102,73.355117
188.259889,86,73.865316
186.786574,86,74.377953
206.39443,90,80.183096
191.447954,90,80.633294
184.775233,87,81.158618
169.16544,80,81.609781
194.425974,87,82.101973
74.808439,43,82.367515
244.537218,99,88.190936
263.007165,107,88.694535
269.169688,111,89.237015
252.996105,102,89.78913
192.928759,87,90.325416
272.782002,108,96.170742
284.520107,113,96.70545
258.747873,106,97.270528
276.336844,106,97.825025
236.308498,95,98.3284
301.100343,116,104.45765
295.654843,117,105.047244
225.99215,94,105.562135
48.326604,28,105.715687
188.463569,85,106.173435
247.198586,101,106.732445
309.262033,115,113.008191
274.971728,106,113.507462
271.844079,108,114.054309
287.606435,109,114.661102
274.683388,108,120.703042
308.587887,119,121.267641
263.928016,105,121.861649
296.418311,115,122.486645
328.926643,126,123.161735
316.270712,119,129.273943
149.000071,74,129.661058
298.145588,118,130.238886
348.694889,126,130.957218
320.06057,122,137.020571
302.24494,123,137.655369
330.551604,125,138.256611
272.113661,110,138.820837
357.473792,132,139.518159
326.600683,124,145.607298
340.246873,128,146.243216
173.451837,84,146.668359
363.079997,133,147.416618
320.459497,119,153.642666
328.839735,122,154.275961
341.332941,130,154.940556
355.962206,130,155.678067
330.577113,122,161.747166
308.113083,118,162.293598
312.193907,118,162.903924
360.413334,131,163.614279
314.287194,118,169.71214
344.728145,126,170.354873
351.223228,126,171.103267
354.585641,132,171.874368
360.580896,133,177.971722
348.905867,130,178.569763
363.127359,132,179.256149
350.262619,130,179.957449
359.718879,134,186.127434
358.046177,132,186.764009
340.615209,127,187.385591
325.318064,127,188.136726
345.313309,130,193.852196
373.523997,135,194.51566
339.82066,125,195.1539
359.393948,132,195.862548
354.27921,130,202.062116
371.989834,133,202.696153
333.557264,125,203.349247
102.641217,57,203.679866
360.766523,130,209.776044
351.04828,131,210.452279
360.401845,131,211.240408
352.914593,132,211.968907
364.47774,134,218.582074
355.380349,131,219.315058
366.006837,134,220.054521
361.229489,133,220.787989
341.639375,130,227.067539
352.36427,131,227.742719
368.297006,131,228.471231
372.985205,136,229.224477
365.018206,133,236.09955
362.605704,131,236.738276
355.881729,132,237.42847
364.765011,131,238.177639
364.627245,133,243.994965
365.694861,133,244.660465
366.220346,133,245.38332
356.006289,131,246.145925
128.744248,69,251.885597
351.559688,132,252.536613
367.640684,134,253.227899
365.111086,131,253.978925
359.87714,130,260.241961
367.675338,132,260.873014
344.046039,129,261.513565
359.943775,131,262.230147
369.642512,133,268.184896
364.516775,135,268.849009
350.799159,126,269.498153
371.422565,134,270.227657
364.847132,130,276.172343
371.179678,134,276.818866
366.590216,133,277.55399
249.581956,102,278.128179
357.942442,133,283.956719
352.957257,129,284.593253
368.212506,132,285.318222
352.873344,129,286.04392
369.434939,135,292.148621
369.491993,132,292.931276
364.277317,133,293.675823
357.108652,130,294.409658
362.961483,132,300.419975
350.063469,128,301.025067
276.894995,110,301.639944
359.379559,132,302.393859
355.974753,132,308.224183
361.52978,134,308.88037
366.861026,135,309.589124
364.502443,135,310.319533
361.745477,133,316.334039
363.857694,133,317.0052
363.187625,134,317.720035
363.248342,134,318.478488
364.829182,134,324.622955
353.911095,129,325.295841
375.109101,133,326.011203
74.81999,41,326.227645
374.605989,135,332.453835
353.851817,133,333.067889
60.858749,34,333.237779
52.343198,30,333.396168
368.632921,134,334.090479
353.418073,131,334.82514
367.478665,132,341.029278
368.44433,133,341.699824
369.375411,133,342.355269
356.617082,132,348.524263
351.298902,130,349.133109
370.961887,135,349.820343
356.184343,131,350.482813
372.395317,133,356.666999
101.869332,56,356.948235
368.159887,133,357.607181
362.761775,134,358.284115
364.470108,134,358.980438
370.875594,131,364.674917
372.331385,135,365.341818
141.538389,74,365.742253
371.367807,133,366.45366
362.91543,131,372.435861
372.427899,133,373.047995
360.919708,134,373.720786
146.034884,77,374.142225
358.831165,133,380.217252
373.515171,132,380.81184
366.334447,135,381.450092
368.399068,132,382.129662
368.103513,133,388.336827
362.967387,132,389.111686
355.338194,130,389.87663
354.436422,131,390.592993
368.209719,132,396.88253
369.389074,136,397.519444
371.396748,133,398.226578
149.498482,78,398.650645
361.237198,133,404.772501
349.757931,130,405.396658
369.583189,134,406.075395
364.837914,135,406.794741
379.138344,137,413.121851
373.238889,134,413.801498
365.881442,130,414.569862
377.115039,134,415.34656
367.394409,135,421.63773
372.559281,134,422.277984
373.108345,133,422.962162
318.574991,122,423.659258
235.700159,99,429.730535
360.469144,128,430.392606
292.374239,116,430.967215
370.642191,134,431.59545
327.899157,122,437.593302
365.068051,134,438.247042
312.67764,118,438.866099
377.248269,135,439.604527
304.081834,116,445.79717
371.166099,133,446.481696
369.077858,135,447.231879
364.148031,132,447.985768
366.350272,134,454.291229
244.124994,100,454.767222
364.935655,134,455.451059
368.403786,135,456.156343
368.598378,133,462.070103
145.827469,76,462.455135
257.471077,103,462.952671
366.697872,135,463.632506
371.847313,133,464.406102
363.971888,134,470.510015
374.332386,135,471.186239
359.314531,132,471.873064
376.823368,134,478.187401
371.667845,136,478.815789
369.549826,132,479.453419
369.29633,134,480.139116
364.620862,134,486.301718
366.225918,132,486.91699
368.075775,135,487.560253
361.172439,134,488.322636
360.13708,132,494.420848
372.82288,132,495.018276
369.525163,134,495.73437
368.909257,131,496.437782
370.623859,134,502.91774
371.502096,133,503.602046
367.69185,134,504.300545
374.15095,133,505.049106
376.00545,135,511.143449
375.206775,136,511.813608
143.604804,75,512.174457
371.997978,136,512.961302
372.745387,135,519.049733
371.810001,133,519.70141
370.940476,131,520.367594
372.893885,132,521.129661
376.050364,136,527.295553
367.078558,135,528.04997
373.900018,133,528.737452
375.948647,133,529.509709
375.651933,133,535.70582
371.96873,133,536.455336
371.776981,134,537.279853
367.210212,133,538.039515
373.803911,135,544.0974
372.19173,134,544.791567
360.32157,133,545.508124
371.474976,134,551.84904
370.805093,132,552.465477
368.560563,135,553.201864
375.969766,133,553.933655
372.896869,132,559.748644
369.918286,136,560.402919
363.391509,134,561.103327
367.741543,134,561.795384
376.275932,134,567.762573
365.369637,134,568.451034
363.039004,134,569.17437
369.07151,132,569.911489
373.291345,134,576.159461
360.633651,133,576.854017
371.270247,134,577.572594
301.517788,117,578.219676
371.89506,133,584.234766
373.386395,134,584.880068
374.115626,135,585.579861
375.736466,135,586.317627
374.045479,134,592.42904
371.595125,135,593.227237
374.247315,134,593.939423
356.513652,132,600.080552
365.152889,134,600.657993
370.568744,134,601.347267
357.95691,132,602.038188
367.070739,135,607.97786
264.287511,106,608.47364
364.103765,134,609.149098
374.778414,134,609.864775
370.238402,136,616.337529
372.820756,136,617.045247
372.499218,135,617.714351
374.523745,135,618.430312
371.559364,131,624.242639
372.353084,132,624.838776
365.432678,134,625.592315
374.550312,133,626.367674
374.346259,135,632.701419
371.142526,133,633.34938
374.036811,135,634.022207
362.499586,134,634.793722
370.363816,134,640.944294
371.783658,134,641.629795
370.123404,136,642.379264
372.178303,136,643.088943
368.638356,131,649.047246
375.236984,133,649.773348
373.584442,136,650.517078
367.489493,135,656.710261
376.182724,134,657.477905
361.879044,133,658.214522
288.466638,111,658.793662
371.221105,136,664.692446
372.385532,136,665.395157
375.147769,134,666.088056
372.252205,135,666.825024
357.994685,132,672.953983
365.415553,134,673.8213
361.488806,133,674.584628
372.23666,136,675.313659
373.271608,133,681.311589
374.187393,135,681.973066
363.877211,134,682.73547
141.564454,74,683.134073
367.908386,135,689.048103
372.65911,136,689.692758
372.543166,133,690.361698
361.529698,133,691.154573
372.964327,135,697.246933
371.291072,135,697.913996
362.96247,134,698.612838
369.022656,134,699.319428
373.243574,135,705.604213
372.142312,133,706.299643
371.027222,134,707.08919
374.260243,135,707.857626
366.420273,135,713.97552
370.083522,135,714.642656
361.558194,133,715.37589
369.7953,134,716.111815
371.111895,133,722.470238
371.671518,134,723.157935
371.340384,132,723.922676
355.357124,131,730.200262
370.073108,133,730.883541
373.527692,133,731.583288
372.948303,134,732.270665
361.564245,132,738.350545
362.881685,134,738.998289
372.887834,134,739.662698
366.752294,132,740.3684
371.225481,134,746.261781
373.851697,133,746.917997
368.305143,134,747.591494
373.220595,133,748.307652
373.538844,134,754.411887
369.798914,136,755.071252
369.919289,134,755.732234
373.726276,134,756.467817
372.914861,132,762.388521
373.667213,136,763.091231
373.478449,134,763.867974
374.915711,134,764.610291
84.413463,47,770.020894
373.059321,135,770.655591
